"Legislation Number",URL,Congress,"Amends Bill",Title,Sponsor,"Date of Introduction","Date Offered","Date Submitted","Date Proposed","Number of Cosponsors",Committees,"Latest Action Date","Latest Action"
"H.R. 6413",https://www.congress.gov/bill/114th-congress/house-bill/6413,"114th Congress (2015-2016)",,"Big Oil Bailout Prevention Trust Fund Act of 2016","Rep. Pallone, Frank, Jr. [D-NJ-6]",11/30/2016,,,,0,"House - Transportation and Infrastructure, Budget, Ways and Means",11/30/2016,"Referred to the Committee on Transportation and Infrastructure, and in addition to the Committees on the Budget, and Ways and Means, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 6412",https://www.congress.gov/bill/114th-congress/house-bill/6412,"114th Congress (2015-2016)",,"Big Oil Bailout Prevention Unlimited Liability Act of 2016","Rep. Pallone, Frank, Jr. [D-NJ-6]",11/30/2016,,,,0,"House - Transportation and Infrastructure",11/30/2016,"Referred to the House Committee on Transportation and Infrastructure."
"H.R. 6411",https://www.congress.gov/bill/114th-congress/house-bill/6411,"114th Congress (2015-2016)",,"Clean Water Protection Act","Rep. Pallone, Frank, Jr. [D-NJ-6]",11/30/2016,,,,0,"House - Transportation and Infrastructure",11/30/2016,"Referred to the House Committee on Transportation and Infrastructure."
"H.R. 6334",https://www.congress.gov/bill/114th-congress/house-bill/6334,"114th Congress (2015-2016)",,"To amend the Safe Drinking Water Act to require the Administrator of the Environmental Protection Agency to establish a grant program to assist eligible entities in carrying out programs to replace lead service lines for schools and solder that is not lead free used in the plumbing for schools, and for other purposes.","Rep. Rush, Bobby L. [D-IL-1]",11/16/2016,,,,1,"House - Energy and Commerce",11/16/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6311",https://www.congress.gov/bill/114th-congress/house-bill/6311,"114th Congress (2015-2016)",,"National Opportunity for Lead Exposure Accountability and Deterrence Act of 2016","Rep. Kildee, Daniel T. [D-MI-5]",11/14/2016,,,,0,"House - Energy and Commerce",11/14/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6240",https://www.congress.gov/bill/114th-congress/house-bill/6240,"114th Congress (2015-2016)",,"Climate Solutions Commission Act of 2016","Rep. Delaney, John K. [D-MD-6]",09/28/2016,,,,7,"House - Energy and Commerce, Science, Space, and Technology",09/30/2016,"Referred to the Subcommittee on Environment."
"H.R. 6201",https://www.congress.gov/bill/114th-congress/house-bill/6201,"114th Congress (2015-2016)",,"Clean Water Healthy Communities Act","Rep. Maloney, Sean Patrick [D-NY-18]",09/28/2016,,,,0,"House - Energy and Commerce",09/28/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6200",https://www.congress.gov/bill/114th-congress/house-bill/6200,"114th Congress (2015-2016)",,"Ongoing Recovery and Conservation Awareness Act of 2016","Rep. Heck, Denny [D-WA-10]",09/28/2016,,,,2,"House - Oversight and Government Reform, Transportation and Infrastructure",09/28/2016,"Referred to the Committee on Oversight and Government Reform, and in addition to the Committee on Transportation and Infrastructure, for a period to be subsequently determined by the Speaker, in each case for consideration of such provisions as fall within the jurisdiction of the committee concerned."
"H.R. 6182",https://www.congress.gov/bill/114th-congress/house-bill/6182,"114th Congress (2015-2016)",,"Water Quality Improvement Act of 2016","Rep. Gibbs, Bob [R-OH-7]",09/27/2016,,,,0,"House - Transportation and Infrastructure",09/27/2016,"Referred to the House Committee on Transportation and Infrastructure."
"H.R. 6170",https://www.congress.gov/bill/114th-congress/house-bill/6170,"114th Congress (2015-2016)",,"To amend the Safe Drinking Water Act with respect to the consolidation of public water systems, and for other purposes.","Rep. Garamendi, John [D-CA-3]",09/26/2016,,,,0,"House - Energy and Commerce",09/26/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6169",https://www.congress.gov/bill/114th-congress/house-bill/6169,"114th Congress (2015-2016)",,"Ending Legacy Lawsuit Abuse Act","Rep. Boustany, Charles W., Jr. [R-LA-3]",09/26/2016,,,,0,"House - Transportation and Infrastructure, Judiciary",10/11/2016,"Referred to the Subcommittee on the Constitution and Civil Justice."
"H.R. 6154",https://www.congress.gov/bill/114th-congress/house-bill/6154,"114th Congress (2015-2016)",,"Reducing Lead in Drinking Water Act","Rep. McNerney, Jerry [D-CA-9]",09/22/2016,,,,0,"House - Energy and Commerce",09/22/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6148",https://www.congress.gov/bill/114th-congress/house-bill/6148,"114th Congress (2015-2016)",,"To amend the Safe Drinking Water Act to require the Administrator of the Environmental Protection Agency to publish a maximum contaminant level goal and promulgate a national primary drinking water regulation for microcystin toxin, and for other purposes.","Rep. Kaptur, Marcy [D-OH-9]",09/22/2016,,,,9,"House - Energy and Commerce",09/22/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6143",https://www.congress.gov/bill/114th-congress/house-bill/6143,"114th Congress (2015-2016)",,"To amend the Safe Drinking Water Act to require the Administrator of the Environmental Protection Agency to publish revised guidance for school officials seeking to reduce exposure to lead from drinking water in schools, and for other purposes.","Rep. Fudge, Marcia L. [D-OH-11]",09/22/2016,,,,0,"House - Energy and Commerce",09/22/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6140",https://www.congress.gov/bill/114th-congress/house-bill/6140,"114th Congress (2015-2016)",,"To amend the Safe Drinking Water Act to require the Administrator of the Environmental Protection Agency to publish a maximum contaminant level goal and promulgate a national primary drinking water regulation for perchlorate, and for other purposes.","Rep. Cardenas, Tony [D-CA-29]",09/22/2016,,,,0,"House - Energy and Commerce",09/22/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6128",https://www.congress.gov/bill/114th-congress/house-bill/6128,"114th Congress (2015-2016)",,"Water, Cosmetics, and Unwanted Pharmaceuticals Study Act","Rep. Schakowsky, Janice D. [D-IL-9]",09/22/2016,,,,0,"House - Energy and Commerce",09/22/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6127",https://www.congress.gov/bill/114th-congress/house-bill/6127,"114th Congress (2015-2016)",,"To amend the Safe Drinking Water Act to require the improvement of consumer confidence reports, and for other purposes.","Rep. Lawrence, Brenda L. [D-MI-14]",09/22/2016,,,,3,"House - Energy and Commerce",09/22/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6125",https://www.congress.gov/bill/114th-congress/house-bill/6125,"114th Congress (2015-2016)",,"To amend the Safe Drinking Water Act to require the Administrator of the Environmental Protection Agency to publish a maximum contaminant level goal and promulgate a national primary drinking water regulation for perfluorinated compounds, and for other purposes.","Rep. Boyle, Brendan F. [D-PA-13]",09/22/2016,,,,2,"House - Energy and Commerce",09/22/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6121",https://www.congress.gov/bill/114th-congress/house-bill/6121,"114th Congress (2015-2016)",,"Climate Resiliency, Security, and Source Water Protection Act","Rep. Capps, Lois [D-CA-24]",09/22/2016,,,,2,"House - Energy and Commerce",09/22/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6116",https://www.congress.gov/bill/114th-congress/house-bill/6116,"114th Congress (2015-2016)",,"Safe Drinking Water Act Amendments of 2016","Rep. Pallone, Frank, Jr. [D-NJ-6]",09/22/2016,,,,9,"House - Energy and Commerce",09/22/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 6061",https://www.congress.gov/bill/114th-congress/house-bill/6061,"114th Congress (2015-2016)",,"No Lead in School Water Act","Rep. Speier, Jackie [D-CA-14]",09/15/2016,,,,29,"House - Energy and Commerce",09/15/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 5913",https://www.congress.gov/bill/114th-congress/house-bill/5913,"114th Congress (2015-2016)",,"Diesel Emissions Reduction Act of 2016","Rep. Ellmers, Renee L. [R-NC-2]",07/18/2016,,,,3,"House - Energy and Commerce",07/18/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 5895",https://www.congress.gov/bill/114th-congress/house-bill/5895,"114th Congress (2015-2016)",,"Invasive Fish and Wildlife Prevention Act of 2016","Rep. Slaughter, Louise McIntosh [D-NY-25]",07/14/2016,,,,1,"House - Natural Resources, Judiciary, Ways and Means, Budget",08/04/2016,"Referred to the Subcommittee on Federal Lands."
"H.R. 5891",https://www.congress.gov/bill/114th-congress/house-bill/5891,"114th Congress (2015-2016)",,"To prohibit the Environmental Protection Agency from using funds to carry out the Environmental Justice Small Grants Program.","Rep. Salmon, Matt [R-AZ-5]",07/14/2016,,,,0,"House - Energy and Commerce, Natural Resources",08/04/2016,"Referred to the Subcommittee on Indian, Insular and Alaska Native Affairs."
"H.R. 5886",https://www.congress.gov/bill/114th-congress/house-bill/5886,"114th Congress (2015-2016)",,"To amend the Safe Drinking Water Act to provide assistance to schools to replace drinking water fountains that may contain lead, and for other purposes.","Rep. Rush, Bobby L. [D-IL-1]",07/14/2016,,,,2,"House - Energy and Commerce",07/14/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 5870",https://www.congress.gov/bill/114th-congress/house-bill/5870,"114th Congress (2015-2016)",,"Federal Partnership for Clean Water Land Acquisition Act of 2016","Rep. Murphy, Patrick [D-FL-18]",07/14/2016,,,,1,"House - Transportation and Infrastructure",07/15/2016,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5833",https://www.congress.gov/bill/114th-congress/house-bill/5833,"114th Congress (2015-2016)",,"Get the Lead Out of Schools Act","Rep. Duckworth, Tammy [D-IL-8]",07/14/2016,,,,0,"House - Energy and Commerce",07/14/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 5829",https://www.congress.gov/bill/114th-congress/house-bill/5829,"114th Congress (2015-2016)",,"ADVISE Now Act","Rep. Davis, Rodney [R-IL-13]",07/14/2016,,,,7,"House - Science, Space, and Technology, Agriculture",09/21/2016,"Ordered to be Reported by Voice Vote."
"H.R. 5788",https://www.congress.gov/bill/114th-congress/house-bill/5788,"114th Congress (2015-2016)",,"Improving Coal Combustion Residuals Regulation Act of 2016","Rep. McKinley, David B. [R-WV-1]",07/14/2016,,,,0,"House - Energy and Commerce",07/14/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 5782",https://www.congress.gov/bill/114th-congress/house-bill/5782,"114th Congress (2015-2016)",,"Brownfields Authorization Increase Act of 2016","Rep. Pallone, Frank, Jr. [D-NJ-6]",07/14/2016,,,,1,"House - Energy and Commerce, Transportation and Infrastructure",07/15/2016,"Referred to the Subcommittee on Water Resources and Environment."
"H.R. 5765",https://www.congress.gov/bill/114th-congress/house-bill/5765,"114th Congress (2015-2016)",,"Great Lakes Fish and Wildlife Restoration Act of 2016","Rep. Dingell, Debbie [D-MI-12]",07/13/2016,,,,5,"House - Natural Resources",07/25/2016,"Referred to the Subcommittee on Federal Lands."
"H.R. 5685",https://www.congress.gov/bill/114th-congress/house-bill/5685,"114th Congress (2015-2016)",,"Farm Regulatory Certainty Act","Rep. Newhouse, Dan [R-WA-4]",07/08/2016,,,,25,"House - Energy and Commerce",07/08/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 5668",https://www.congress.gov/bill/114th-congress/house-bill/5668,"114th Congress (2015-2016)",,"Transparency and Honesty in Energy Regulations Act of 2016","Rep. Jenkins, Evan H. [R-WV-3]",07/07/2016,,,,24,"House - Energy and Commerce",07/07/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 5656",https://www.congress.gov/bill/114th-congress/house-bill/5656,"114th Congress (2015-2016)",,"TRASH Act","Rep. Cartwright, Matt [D-PA-17]",07/07/2016,,,,4,"House - Energy and Commerce",07/07/2016,"Referred to the House Committee on Energy and Commerce."
"H.R. 5650",https://www.congress.gov/bill/114th-congress/house-bill/5650,"114th Congress (2015-2016)",,"Recovering America's Wildlife Act of 2016","Rep. Young, Don [R-AK-At Large]",07/06/2016,,,,19,"House - Natural Resources",07/13/2016,"Referred to the Subcommittee on Federal Lands."
"H.R. 5629",https://www.congress.gov/bill/114th-congress/house-bill/5629,"114th Congress (2015-2016)",,"California New River Restoration Act of 2016","Rep. Vargas, Juan [D-CA-51]",07/06/2016,,,,1,"House - Natural Resources, Transportation and Infrastructure",07/11/2016,"Referred to the Subcommittee on Water, Power and Oceans."
"H.R. 5551",https://www.congress.gov/bill/114th-congress/house-bill/5551,"114th Congress (2015-2016)",,"End EPA Rogue Spending Act","Rep. Smith, Jason [R-MO-8]",06/21/2016,,,,0,"House - Energy and Commerce, Agriculture, Transportation and Infrastructure, Science, Space, and Technology",09/30/2016,"Referred to the Subcommittee on Environment."
"H.R. 5430",https://www.congress.gov/bill/114th-congress/house-bill/5430,"114th Congress (2015-2016)",,"Public Water Supply Invasive Species Compliance Act of 2016","Rep. Gohmert, Louie [R-TX-1]",06/09/2016,,,,7,"House - Natural Resources, Judiciary",06/23/2016,"Subcommittee Hearings Held."
"H.R. 5313",https://www.congress.gov/bill/114th-congress/house-bill/5313,"114th Congress (2015-2016)",,"Water Affordability, Transparency, Equity, and Reliability Act of 2016","Rep. Conyers, John, Jr. [D-MI-13]",05/24/2016,,,,16,"House - Transportation and Infrastructure, Ways and Means, Energy and Commerce",05/25/2016,"Referred to the Subcommittee on Water Resources and Environment."
